"filename", "language", "YAML", "Dockerfile", "JSON", "Ignore", "JavaScript", "Markdown", "CSS", "XML", "HTML", "comment", "blank", "total"
"/home/jbolanos/Documentos/hackathon/Codigo/IICA-APP/api-gateway/src/graphql/schemas/user/User.js", "JavaScript", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 4, 29
"/home/jbolanos/Documentos/hackathon/Codigo/IICA-APP/api-gateway/src/helpers/accessEnv.js", "JavaScript", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 6, 17
"/home/jbolanos/Documentos/hackathon/Codigo/IICA-APP/api-gateway/src/index.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/home/jbolanos/Documentos/hackathon/Codigo/IICA-APP/api-gateway/src/server/formatGraphQLErrors.js", "JavaScript", 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 4, 13
"/home/jbolanos/Documentos/hackathon/Codigo/IICA-APP/api-gateway/src/server/injectSession.js", "JavaScript", 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 4, 15
"/home/jbolanos/Documentos/hackathon/Codigo/IICA-APP/api-gateway/src/server/startServer.js", "JavaScript", 0, 0, 0, 0, 29, 0, 0, 0, 0, 0, 9, 38
"/home/jbolanos/Documentos/hackathon/Codigo/IICA-APP/docker-compose.yaml", "YAML", 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 56
"/home/jbolanos/Documentos/hackathon/Codigo/IICA-APP/iica-app-front/.yarn/build-state.yml", "YAML", 8, 0, 0, 0, 0, 0, 0, 0, 0, 6, 5, 19
"/home/jbolanos/Documentos/hackathon/Codigo/IICA-APP/iica-app-front/README.md", "Markdown", 0, 0, 0, 0, 0, 37, 0, 0, 0, 0, 32, 69
"/home/jbolanos/Documentos/hackathon/Codigo/IICA-APP/iica-app-front/package.json", "JSON", 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 1, 35
"/home/jbolanos/Documentos/hackathon/Codigo/IICA-APP/iica-app-front/public/index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 20, 23, 1, 44
"/home/jbolanos/Documentos/hackathon/Codigo/IICA-APP/iica-app-front/public/manifest.json", "JSON", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 1, 26
"/home/jbolanos/Documentos/hackathon/Codigo/IICA-APP/iica-app-front/src/App.css", "CSS", 0, 0, 0, 0, 0, 0, 33, 0, 0, 0, 6, 39
"/home/jbolanos/Documentos/hackathon/Codigo/IICA-APP/iica-app-front/src/App.js", "JavaScript", 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 3, 27
"/home/jbolanos/Documentos/hackathon/Codigo/IICA-APP/iica-app-front/src/App.test.js", "JavaScript", 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 2, 10
"/home/jbolanos/Documentos/hackathon/Codigo/IICA-APP/iica-app-front/src/index.css", "CSS", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 2, 14
